Tanggal,Beras Premium,Beras Medium,Bawang Merah,Bawang Putih Bonggol,Cabai Merah Keriting,Daging Sapi Murni,Cabai Rawit Merah,Daging Ayam Ras,Telur Ayam Ras,Gula Konsumsi,Minyak Goreng Kemasan,Minyak Goreng Curah,Tepung Terigu (Curah),Tepung Terigu Kemasan,Ikan Kembung,Ikan Tongkol,Ikan Bandeng,Garam Konsumsi
2024-03-12,17000.0,11950.0,25000.0,38500.0,43500.0,117500.0,42500.0,38000.0,30500.0,16750.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,32000.0,10000.0
2024-03-13,17000.0,11950.0,25000.0,37500.0,48500.0,117500.0,42500.0,38000.0,30500.0,16750.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,32000.0,10000.0
2024-03-14,17000.0,11950.0,25000.0,37500.0,45000.0,117500.0,42500.0,38000.0,30500.0,16750.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,32000.0,10000.0
2024-03-15,17000.0,11950.0,27500.0,38000.0,46000.0,117500.0,27000.0,37000.0,30500.0,16750.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-03-16,17000.0,11950.0,26000.0,38000.0,41000.0,117500.0,29500.0,37500.0,30500.0,16750.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-03-17,17000.0,11950.0,23500.0,38000.0,42500.0,117500.0,27000.0,37000.0,30500.0,16750.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-03-18,17000.0,11950.0,23500.0,38000.0,37500.0,117500.0,27500.0,35500.0,30500.0,16750.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-03-19,17000.0,11950.0,23500.0,38000.0,40000.0,117500.0,27500.0,35500.0,30500.0,16750.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-03-20,17000.0,11950.0,26000.0,39000.0,35000.0,117500.0,27500.0,35500.0,30500.0,16750.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-03-21,17000.0,11950.0,26000.0,39000.0,37500.0,117500.0,27500.0,35500.0,30500.0,16750.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-03-22,17000.0,11950.0,27000.0,39000.0,30000.0,117500.0,27500.0,37000.0,30500.0,16750.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-03-23,17000.0,11950.0,30000.0,39000.0,27500.0,117500.0,27500.0,37000.0,30500.0,16750.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-03-24,17000.0,11950.0,26000.0,39000.0,26500.0,117500.0,27500.0,37000.0,30500.0,16750.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-03-25,17000.0,11950.0,26000.0,39000.0,32500.0,117500.0,31000.0,37000.0,30500.0,16750.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-03-26,17000.0,11950.0,26000.0,39000.0,32500.0,117500.0,31000.0,37000.0,29500.0,16750.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-03-27,17000.0,11950.0,26000.0,38000.0,34000.0,117500.0,31000.0,37000.0,29500.0,16750.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-03-28,17000.0,11950.0,26000.0,38000.0,31500.0,117500.0,27500.0,37000.0,29500.0,16750.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-03-29,17000.0,11950.0,26000.0,36500.0,27500.0,117500.0,22500.0,36000.0,28500.0,16750.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-03-30,17000.0,11950.0,26000.0,36500.0,27500.0,117500.0,22500.0,36000.0,28500.0,16750.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-03-31,17000.0,11950.0,23500.0,36500.0,32500.0,117500.0,25000.0,36000.0,28500.0,17000.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-04-01,17000.0,11950.0,26000.0,37500.0,36500.0,117500.0,25000.0,36000.0,28500.0,17000.0,14000.0,15000.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-04-02,17000.0,11950.0,26000.0,37500.0,36500.0,117500.0,25000.0,36000.0,28500.0,17000.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-04-03,16500.0,11450.0,27000.0,36500.0,35500.0,117500.0,27500.0,35500.0,28500.0,17000.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-04-04,16500.0,11450.0,27000.0,36500.0,35500.0,117500.0,27500.0,35500.0,28500.0,17000.0,14000.0,16000.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-04-05,16500.0,11450.0,28500.0,36500.0,35500.0,117500.0,27500.0,35500.0,28500.0,17000.0,14000.0,16750.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-04-06,16500.0,11450.0,42000.0,38000.0,32500.0,117500.0,26500.0,36000.0,28000.0,17000.0,14000.0,16750.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-04-07,16500.0,11450.0,44500.0,38000.0,42500.0,117500.0,31500.0,36000.0,28000.0,17000.0,14000.0,16750.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-04-08,16500.0,11450.0,43500.0,38000.0,45000.0,117500.0,36000.0,36000.0,28000.0,17000.0,14000.0,16750.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-04-09,16500.0,11450.0,45000.0,39000.0,46500.0,117500.0,30000.0,37000.0,29000.0,17000.0,14000.0,16750.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-04-10,16401.785714285714,11426.785714285714,41982.142857142855,39232.142857142855,38803.57142857143,116071.42857142857,26517.85714285714,36000.0,28035.714285714286,16946.428571428572,14000.0,16794.64285714286,10303.57142857143,12553.57142857143,30000.0,27288.88888888889,34535.71428571428,10000.0
2024-04-11,16401.785714285714,11426.785714285714,41982.142857142855,39232.142857142855,38803.57142857143,116071.42857142858,26517.857142857145,36000.0,28035.714285714286,16946.428571428572,14000.0,16794.642857142855,10303.571428571428,12553.571428571428,30000.0,27288.888888888887,34535.71428571429,10000.0
2024-04-12,17000.0,10900.0,45000.0,39000.0,46500.0,120000.0,30000.0,38000.0,28000.0,17000.0,14000.0,16000.0,10000.0,13000.0,30000.0,30000.0,35000.0,10000.0
2024-04-13,16500.0,11450.0,47500.0,39000.0,46500.0,120000.0,30000.0,38000.0,28000.0,17000.0,14000.0,16000.0,10000.0,13000.0,30000.0,30000.0,35000.0,10000.0
2024-04-14,16000.0,10900.0,55000.0,42500.0,39000.0,120000.0,27500.0,38000.0,29000.0,17000.0,14000.0,16000.0,10000.0,13000.0,30000.0,30000.0,35000.0,10000.0
2024-04-15,16250.0,11450.0,45000.0,40500.0,36500.0,117500.0,20000.0,36500.0,28000.0,17000.0,14000.0,16750.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-04-16,16250.0,11450.0,45000.0,40500.0,32500.0,117500.0,20000.0,37000.0,28000.0,17000.0,14000.0,16750.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-04-17,16250.0,11450.0,45000.0,40500.0,34000.0,117500.0,20000.0,37000.0,28000.0,17000.0,14000.0,16750.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-04-18,16250.0,11450.0,40000.0,40000.0,36000.0,117500.0,20000.0,37000.0,28000.0,17000.0,14000.0,16750.0,10000.0,12500.0,30000.0,28000.0,34000.0,10000.0
2024-04-19,16250.0,11450.0,42500.0,40500.0,40000.0,117500.0,30000.0,36000.0,28000.0,16750.0,14000.0,17250.0,10000.0,12500.0,30000.0,28000.0,35000.0,10000.0
2024-04-20,16250.0,11450.0,52500.0,39000.0,37500.0,117500.0,27500.0,36000.0,28000.0,16750.0,14000.0,17250.0,10000.0,12500.0,30000.0,28000.0,35000.0,10000.0
2024-04-21,16250.0,11450.0,51000.0,39000.0,37500.0,117500.0,25000.0,36000.0,28000.0,16750.0,14000.0,17250.0,10000.0,12500.0,30000.0,2800.0,35000.0,10000.0
2024-04-22,16250.0,11450.0,38500.0,42000.0,35000.0,112500.0,27500.0,36000.0,28000.0,16750.0,14000.0,17250.0,10000.0,12000.0,30000.0,28000.0,35000.0,10000.0
2024-04-23,16250.0,11450.0,42500.0,41000.0,32500.0,112500.0,27500.0,36000.0,28000.0,17000.0,14000.0,17500.0,10000.0,12500.0,30000.0,28000.0,30000.0,10000.0
2024-04-24,16250.0,11450.0,41500.0,41000.0,34000.0,112500.0,29000.0,36000.0,28000.0,17000.0,14000.0,17500.0,10000.0,12500.0,30000.0,28000.0,35000.0,10000.0
2024-04-25,16250.0,11450.0,45000.0,41000.0,37500.0,112500.0,29000.0,36000.0,27500.0,17000.0,14000.0,17500.0,18500.0,12500.0,30000.0,28000.0,35000.0,10000.0
2024-04-26,16250.0,11450.0,42500.0,38500.0,42500.0,112500.0,27500.0,34500.0,27500.0,17000.0,14000.0,17500.0,10000.0,12500.0,30000.0,28000.0,35000.0,10000.0
2024-04-27,16500.0,10900.0,50000.0,35000.0,40000.0,110000.0,25000.0,33000.0,27000.0,16500.0,14000.0,17000.0,10000.0,13000.0,30000.0,27288.888888888887,40000.0,10000.0
2024-04-28,16250.0,11450.0,42500.0,40000.0,42500.0,112500.0,25000.0,34500.0,27500.0,17000.0,14000.0,17500.0,10000.0,12500.0,30000.0,28000.0,35000.0,10000.0
2024-04-29,16250.0,11450.0,47500.0,41000.0,46500.0,112500.0,24000.0,34500.0,27500.0,17000.0,14000.0,17500.0,10000.0,12500.0,30000.0,28000.0,35000.0,10000.0
2024-04-30,16250.0,11450.0,47500.0,41000.0,44000.0,112500.0,21500.0,34500.0,27500.0,17000.0,14000.0,17500.0,10000.0,12500.0,30000.0,28000.0,35000.0,10000.0
2024-05-01,16250.0,11450.0,46500.0,42000.0,44000.0,112500.0,23500.0,34500.0,27500.0,17000.0,14000.0,17500.0,10000.0,12500.0,30000.0,28000.0,35000.0,10000.0
2024-05-02,16250.0,11450.0,43500.0,41000.0,42500.0,112500.0,25000.0,34500.0,27500.0,17000.0,14000.0,17500.0,10000.0,12500.0,30000.0,28000.0,35000.0,10000.0
2024-05-03,16250.0,11450.0,46500.0,41000.0,41000.0,112500.0,20000.0,35500.0,27500.0,17375.0,14000.0,17500.0,10000.0,12500.0,30000.0,28000.0,33000.0,10000.0
2024-05-04,16250.0,11450.0,46500.0,41000.0,41000.0,112500.0,20000.0,35000.0,27500.0,17375.0,14000.0,17500.0,10000.0,12500.0,30000.0,28000.0,33000.0,10000.0
2024-05-05,16000.0,12000.0,47000.0,42000.0,40000.0,115000.0,20000.0,35000.0,28000.0,17000.0,14000.0,17000.0,10000.0,12000.0,30000.0,28000.0,30000.0,10000.0
2024-05-06,16250.0,11450.0,44000.0,41000.0,37500.0,112500.0,17500.0,35000.0,29000.0,17125.0,14000.0,17000.0,10000.0,12500.0,30000.0,28000.0,33000.0,10000.0
2024-05-07,16250.0,11450.0,43500.0,41000.0,37500.0,112500.0,20000.0,35000.0,29000.0,17125.0,14000.0,17000.0,10000.0,12500.0,30000.0,28000.0,33000.0,10000.0
2024-05-08,16250.0,11450.0,43500.0,41000.0,49000.0,112500.0,21000.0,35500.0,29000.0,17250.0,14000.0,17000.0,10000.0,12500.0,30000.0,28000.0,33000.0,10000.0
2024-05-09,16250.0,11450.0,49000.0,41500.0,41000.0,112500.0,20000.0,35500.0,29000.0,17250.0,14000.0,17000.0,10000.0,12500.0,30000.0,28000.0,33000.0,10000.0
2024-05-10,16250.0,11450.0,42500.0,41500.0,31000.0,112500.0,17500.0,35500.0,29000.0,17250.0,14000.0,17000.0,10000.0,12500.0,30000.0,28000.0,33000.0,10000.0
2024-05-11,16250.0,12000.0,41500.0,40000.0,32500.0,112500.0,18500.0,35500.0,29000.0,17250.0,14000.0,17000.0,10000.0,12500.0,30000.0,28000.0,33000.0,10000.0
2024-05-12,16250.0,12000.0,41500.0,40000.0,32500.0,112500.0,21000.0,35500.0,29000.0,17250.0,14000.0,17000.0,10000.0,12500.0,30000.0,28000.0,33000.0,10000.0
2024-05-13,16250.0,12000.0,43500.0,41500.0,37500.0,112500.0,21500.0,35500.0,29000.0,17250.0,14000.0,17000.0,10000.0,12500.0,30000.0,28000.0,33000.0,10000.0
